ID,Title,IMDb,Age Category,d1,d2,d3,d4
406,DragonHeart,6.5,13+,0,1,0,0
407,We the Animals,6.9,18+,0,0,0,1
408,Soul Surfer,7,7+,1,0,0,0
409,Rocko's Modern Life: Static Cling,7,7+,1,0,0,0
410,Haywire,5.8,18+,0,0,0,1
411,Stuart Little,5.9,7+,1,0,0,0
412,Cutie and the Boxer,7.2,18+,0,0,0,1
413,The World Is Yours,6.4,18+,0,0,0,1
414,Berlin Syndrome,6.3,18+,0,0,0,1
415,Furie,5.8,18+,0,0,0,1
416,Big Miracle,6.5,7+,1,0,0,0
417,Kursk,6.6,13+,0,1,0,0
418,Deep Impact,6.2,13+,0,1,0,0
419,Stonehearst Asylum,6.8,13+,0,1,0,0
420,The Wandering Earth,6,13+,0,1,0,0
421,Bon Cop Bad Cop,6.8,13+,0,1,0,0
422,Melvin Goes to Dinner,6.8,18+,0,0,0,1
423,Chappaquiddick,6.5,13+,0,1,0,0
424,Mission Control: The Unsung Heroes of Apollo,7.5,7+,1,0,0,0
425,Dukhtar,7,7+,1,0,0,0
426,Red Dawn,6.4,13+,0,1,0,0
427,Kaabil,7.1,18+,0,0,0,1
428,The Company Men,6.7,18+,0,0,0,1
429,Studio 54,6.9,18+,0,0,0,1
430,The Case for Christ,6.2,7+,1,0,0,0
431,Mowgli: Legend of the Jungle,6.5,13+,0,1,0,0
432,Jimmy Neutron: Boy Genius,6,all,0,0,0,0
433,World Trade Center,5.9,13+,0,1,0,0
434,I Am Kalam,8,all,0,0,0,0
435,PEEPLI [Live],7.4,7+,1,0,0,0
436,Mortal Kombat,5.8,13+,0,1,0,0
437,Behind the Curve,6.5,16+,0,0,1,0
438,Soni,7.2,18+,0,0,0,1
439,Carriers,6,13+,0,1,0,0
440,The Bill Murray Stories: Life Lessons Learned from a Mythical Man,7,18+,0,0,0,1
441,Can't Hardly Wait,6.5,13+,0,1,0,0
442,The Confirmation,6.4,13+,0,1,0,0
443,The First Wives Club,6.4,7+,1,0,0,0
444,Colonia,7.1,18+,0,0,0,1
445,Free Fire,6.4,18+,0,0,0,1
446,Life As We Know It,6.5,13+,0,1,0,0
447,To All the Boys: P.S. I Still Love You,6,16+,0,0,1,0
448,Cop Car,6.3,18+,0,0,0,1
449,Urban Cowboy,6.3,7+,1,0,0,0
450,Above the Rim,6.6,18+,0,0,0,1
451,Resident Evil: Extinction,6.3,18+,0,0,0,1
452,American Assassin,6.2,18+,0,0,0,1
453,Open Season,6.1,7+,1,0,0,0
454,Resident Evil: Apocalypse,6.2,18+,0,0,0,1
455,Kate & Leopold,6.4,13+,0,1,0,0
456,The Money Pit,6.4,7+,1,0,0,0
457,The Angel,6.6,18+,0,0,0,1
458,Burlesque,6.4,13+,0,1,0,0
459,Mr. Church,7.6,13+,0,1,0,0
460,Murder Mystery,6,13+,0,1,0,0
461,Miss Hokusai,6.7,13+,0,1,0,0
462,The Invention of Lying,6.4,13+,0,1,0,0
463,Breath,6.7,18+,0,0,0,1
464,Kodachrome,6.8,18+,0,0,0,1
465,Operation Red Sea,6.7,18+,0,0,0,1
466,Laggies,6.4,18+,0,0,0,1
467,Eddie Murphy: Delirious,8.2,18+,0,0,0,1
468,Fire in Paradise,7.4,18+,0,0,0,1
469,Cookie's Fortune,6.8,13+,0,1,0,0
470,Before I Wake,6.2,13+,0,1,0,0
471,Mountain,7.2,7+,1,0,0,0
472,Center Stage,6.7,13+,0,1,0,0
473,Mr. Right,6.3,18+,0,0,0,1
474,Tamasha,7.3,7+,1,0,0,0
475,Quartet,6.8,13+,0,1,0,0
476,"Bikram: Yogi, Guru, Predator",6.7,18+,0,0,0,1
477,Dolphin Tale 2,6.4,7+,1,0,0,0
478,No One Killed Jessica,7.2,13+,0,1,0,0
479,I Am Bolt,7.1,7+,1,0,0,0
480,Evolution,6.1,13+,0,1,0,0
481,The Iron Lady,6.4,13+,0,1,0,0
482,Son of a Gun,6.5,18+,0,0,0,1
483,Rugrats in Paris: The Movie,6.1,all,0,0,0,0
484,Sweetheart,5.7,13+,0,1,0,0
485,Raees,6.8,18+,0,0,0,1
486,The Rover,6.4,18+,0,0,0,1
487,The Other Side of the Wind,6.8,18+,0,0,0,1
488,Let It Fall: Los Angeles 1982-1992,7.7,18+,0,0,0,1
489,Walking Out,5.8,13+,0,1,0,0
490,After,5.4,13+,0,1,0,0
491,Jersey Boys,6.8,18+,0,0,0,1
492,Nappily Ever After,6.4,18+,0,0,0,1
493,Final Destination 3,5.8,18+,0,0,0,1
494,"To Wong Foo, Thanks for Everything! Julie Newmar",6.6,13+,0,1,0,0
495,Elizabeth: The Golden Age,6.8,13+,0,1,0,0
496,A Futile and Stupid Gesture,6.8,18+,0,0,0,1
497,The Green Hornet,5.8,13+,0,1,0,0
498,Dear John,6.3,13+,0,1,0,0
499,Guzaarish,7.4,7+,1,0,0,0
500,Between Two Ferns: The Movie,6.1,18+,0,0,0,1
501,13 Sins,6.3,18+,0,0,0,1
502,Kiss the Girls,6.6,18+,0,0,0,1
503,Mr. Roosevelt,6.2,18+,0,0,0,1
504,Battle: Los Angeles,5.7,13+,0,1,0,0
505,When We First Met,6.4,16+,0,0,1,0
506,Trailer Park Boys: The Movie,7.2,18+,0,0,0,1
507,Phantom Boy,6.6,7+,1,0,0,0
508,Survivor's Guide to Prison,7.1,18+,0,0,0,1
509,Transcendence,6.3,13+,0,1,0,0
510,Jagga Jasoos,6.5,7+,1,0,0,0
511,The Perfect Date,5.8,16+,0,0,1,0
512,A Fortunate Man,7.2,16+,0,0,1,0
513,Let It Snow,5.8,13+,0,1,0,0
514,Middle School: The Worst Years of My Life,6.1,7+,1,0,0,0
515,The Little Hours,5.8,18+,0,0,0,1
516,Aval,6.8,13+,0,1,0,0
517,The Unknown Known,7,13+,0,1,0,0
518,Kahlil Gibran's The Prophet,7.1,7+,1,0,0,0
519,The Princess Switch,6,7+,1,0,0,0
520,The Blackcoat's Daughter,5.9,18+,0,0,0,1
521,Into the Forest,5.8,18+,0,0,0,1
522,Stuart Little 2,5.4,all,0,0,0,0
523,The Rolling Stones: OlÃ© OlÃ© OlÃ©! â€“ A Trip Across Latin America,7.5,16+,0,0,1,0
524,From Paris with Love,6.5,18+,0,0,0,1
525,Pee-wee's Big Holiday,6.1,7+,1,0,0,0
526,Promised Land,6.6,18+,0,0,0,1
527,Seeing Allred,6.8,16+,0,0,1,0
528,Goldstone,6.5,18+,0,0,0,1
529,The Signal,6.1,13+,0,1,0,0
530,The Red Sea Diving Resort,6.5,18+,0,0,0,1
531,Self/less,6.5,13+,0,1,0,0
532,Horse Girl,5.9,18+,0,0,0,1
533,Chris Rock: Tamborine,6.5,18+,0,0,0,1
534,The Monster,5.4,18+,0,0,0,1
